"ID.OMM.station","Latitude","Longitude","Altitude","temp_moy","temp_sd","temp_ete","temp_hiver","hum_moy","hum_sd","vent_moy","vent_sd","precip_moy","precip_sd","nebul_moy","communes..name.","department..name.","region..name.","cluster"
7005,50.136,1.834,69,284.799503254539,6.3298567517948,291.100296017223,278.892894809881,80.3344638574854,15.0012911036153,3.60091242753747,2.25265878194292,2.19495431893688,4.57528848585917,72.5575898801598,"Abbeville","Somme","Hauts-de-France","1"
7015,50.57,3.0975,47,285.137338237297,6.91302906052752,292.279246538871,278.521846815596,77.2556531807656,17.0609647576289,4.17851740818968,2.45224114453027,1.92400752849326,4.17218537861681,96.4991373668868,"Fretin","Nord","Hauts-de-France","1"
7020,49.725167,-1.939833,6,285.92647432504,4.03536012693161,289.877254346947,282.02758121092,81.6795103778606,10.4027469973534,6.75847173711597,3.57350600348364,2.08853252399311,4.54033133792276,69.1411839323467,"La Hague","Manche","Normandie","2"
7027,49.18,-0.456167,67,285.062485446202,6.02383911731161,290.945446047009,279.690114653244,81.2528593931923,13.9716980046596,4.24681500274273,2.47495331430106,1.89883947210133,4.05661155417783,94.1367345774125,"Carpiquet","Calvados","Normandie","1"
7037,49.383,1.181667,151,284.642856656452,6.68228978287871,291.353996294826,278.419618320611,79.9821672588139,16.4413404533017,4.03997602739726,2.13391321324742,2.13088737201365,4.22815480706035,94.6724079126876,"Boos","Seine-Maritime","Normandie","1"
7072,49.209667,4.155333,95,284.836202669572,7.56301946552351,292.428943885654,278.086149777283,78.5042903840915,16.9504871068067,3.13885881591938,2.02688442462115,1.59826326047612,3.89391798973779,97.2970417810308,"Prunay","Marne","Grand Est","1"
7110,48.444167,-4.412,94,285.243257353443,5.01991858350182,289.837930121758,281.101430953042,83.7845681119836,13.4303826915281,4.67566856791557,2.70410555258681,3.18356924589934,5.79546021503751,94.8931595760864,"Guipavas","Finistère","Bretagne","2"
7117,48.825833,-3.473167,55,285.755806029736,4.27451807229739,289.960844516741,281.830947735192,81.4668915198238,11.2265022958808,4.95926335811862,2.62672300267414,2.23647912174084,4.42646092245677,76.2055271104109,"Perros-Guirec","Côtes-d'Armor","Bretagne","2"
7130,48.068833,-1.734,36,285.846035287305,6.52466041192601,292.085978835979,280.091646960634,79.5413672127797,16.8279196074036,3.52725600408789,2.03006682265889,1.8235058205565,4.17252432683523,97.0863899044699,"Saint-Jacques-de-la-Lande","Ille-et-Vilaine","Bretagne","1"
7139,48.4455,0.110167,143,285.032771266022,6.90871086464546,291.975663244901,278.730217179451,79.0073342929605,16.7531205154406,3.18703036541431,2.0513106276,1.94368638337248,4.24511587890112,97.4460997067449,"Cerisé","Orne","Normandie","1"
7149,48.716833,2.384333,89,286.047562799551,7.30888839636231,293.770843246101,278.996850721421,73.9971447024032,17.9594441177635,3.57479520038071,1.99165401724878,1.7751104057411,4.38174268204716,69.0524145829357,"Athis-Mons","Essonne","Île-de-France","3"
7168,48.324667,4.02,112,285.377209611,7.73974696410738,293.249114225278,278.350557646731,77.2337405983051,17.7337233972532,3.55121476830683,2.3368829086026,1.71392278868301,4.10097212907094,94.1549731737515,"Barberey-Saint-Sulpice","Aube","Grand Est","1"
7181,48.581,5.959833,336,284.5927679394,7.8561830978198,292.908553768443,277.023555215151,75.8871980346663,19.1969968888905,3.77400921658986,2.37300444288238,2.11295331388078,4.61500277238583,97.5143647709879,"Thuilley-aux-Groseilles","Meurthe-et-Moselle","Grand Est","3"
7190,48.5495,7.640333,150,285.410955563892,8.20600462901344,294.1851272146,277.371759644741,74.7071382285734,18.3749527344556,2.89605146406389,2.0014875628466,1.68877128233697,4.17288914136972,96.8642680945791,"Holtzheim","Bas-Rhin","Grand Est","3"
7207,47.294333,-3.218333,34,286.858417871039,4.70689935270714,291.68013568521,282.438783482143,79.2565520375701,12.2490692246992,6.24475453463128,3.27700643918841,1.58973201490398,3.63765216114893,66.5296352085926,"Bangor","Morbihan","Bretagne","2"
7222,47.15,-1.608833,26,286.417483932397,6.65481256209037,292.913224014811,280.361003191342,78.3097901860101,17.3282909267593,3.4740594598272,2.00072356323306,2.2279860895913,5.14404430603083,92.3657578283129,"Saint-Aignan-Grandlieu","Loire-Atlantique","Pays de la Loire","4"
7240,47.4445,0.727333,108,286.14741873805,7.24214998914064,293.662471655329,279.380456570156,76.6179664026222,18.0149231019206,3.46004921226206,1.88358848712476,1.72987553305828,3.98363968520875,93.2374396567137,"Parçay-Meslay","Indre-et-Loire","Centre-Val de Loire","3"
7255,47.059167,2.359833,161,286.081102107521,7.70837257601609,294.150292669948,278.752857539187,74.2222978955254,19.0041665512624,3.07772561826037,1.78698838399027,1.9369752851052,4.46915442258267,86.1783492326835,"Bourges","Cher","Centre-Val de Loire","3"
7280,47.267833,5.088333,219,285.404823585777,8.13998280562215,294.285074526655,277.44568184984,75.4157476539489,19.0504116679559,3.07619194515853,1.93772786947071,1.86036195256442,4.6034287630619,97.2030956260183,"Ouges","Côte-d'Or","Bourgogne-Franche-Comté","3"
7299,47.614333,7.51,263,285.043072473631,8.26791707792019,293.846425261485,277.083888195311,76.1232391970058,18.1912756386575,2.68648115389849,1.79728535645037,1.80283097418818,4.05705205882182,79.2924304885536,"Blotzheim","Haut-Rhin","Grand Est","3"
7314,46.046833,-1.4115,11,287.41555967819,5.0985622809554,292.874051570836,282.123887152002,79.0288071907463,11.3323468044208,5.54423717034273,3.0037501834318,1.70336573006089,4.01644622410913,62.6537539936102,"Saint-Denis-d'Oléron","Charente-Maritime","Nouvelle-Aquitaine","2"
